Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
MT326086,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,USA,Homo sapiens,,3/19/2020
MT326087,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA,Homo sapiens,,3/23/2020
MT326088,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,complete,USA,Homo sapiens,,3/23/2020
MT326089,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,USA,Homo sapiens,,3/21/2020
MT326090,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29794,complete,USA,Homo sapiens,,3/21/2020
MT326091,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29710,complete,USA,Homo sapiens,,3/16/2020
MT326092,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,complete,USA,Homo sapiens,,3/22/2020
MT326093,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,USA,Homo sapiens,,3/22/2020
MT326094,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29749,complete,USA,Homo sapiens,,3/22/2020
MT326095,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,complete,USA,Homo sapiens,,3/22/2020
MT326096,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA,Homo sapiens,,3/22/2020
MT326097,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA,Homo sapiens,,3/21/2020
MT326098,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,partial,USA,Homo sapiens,,3/22/2020
MT326099,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA,Homo sapiens,,3/22/2020
MT326100,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,complete,USA,Homo sapiens,,3/22/2020
MT326101,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29754,partial,USA,Homo sapiens,,3/22/2020
MT326102,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29652,partial,USA,Homo sapiens,,3/22/2020
MT326103,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA,Homo sapiens,,3/22/2020
MT326104,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,complete,USA,Homo sapiens,,3/22/2020
MT326105,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,complete,USA,Homo sapiens,,3/22/2020
MT326106,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,complete,USA,Homo sapiens,,3/22/2020
MT326107,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29643,partial,USA,Homo sapiens,,3/22/2020
MT326108,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29598,partial,USA,Homo sapiens,,3/22/2020
MT326109,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29649,partial,USA,Homo sapiens,,3/22/2020
MT326110,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29773,partial,USA,Homo sapiens,,3/22/2020
MT326111,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA,Homo sapiens,,3/22/2020
MT326112,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,complete,USA,Homo sapiens,,3/20/2020
MT326113,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA,Homo sapiens,,3/20/2020
MT326114,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29474,partial,USA,Homo sapiens,,3/20/2020
MT326115,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29520,partial,USA,Homo sapiens,,3/20/2020
MT326116,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,USA,Homo sapiens,,3/20/2020
MT326117,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,complete,USA,Homo sapiens,,3/20/2020
MT326118,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA,Homo sapiens,,3/21/2020
MT326119,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,USA,Homo sapiens,,3/20/2020
MT326120,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,USA,Homo sapiens,,3/21/2020
MT326121,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29643,complete,USA,Homo sapiens,,3/20/2020
MT326122,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29616,partial,USA,Homo sapiens,,3/20/2020
MT326123,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29744,complete,USA,Homo sapiens,,3/20/2020
MT326124,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29765,complete,USA,Homo sapiens,,3/20/2020
MT326125,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,complete,USA,Homo sapiens,,3/20/2020
MT326126,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,partial,USA,Homo sapiens,,3/20/2020
MT326127,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA,Homo sapiens,,3/20/2020
MT326128,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,complete,USA,Homo sapiens,,3/20/2020
MT326129,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,complete,USA,Homo sapiens,,3/20/2020
MT326130,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29790,complete,USA,Homo sapiens,,3/20/2020
MT326131,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29381,partial,USA,Homo sapiens,,3/20/2020
MT326132,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,complete,USA,Homo sapiens,,3/20/2020
MT326133,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,complete,USA,Homo sapiens,,3/20/2020
MT326134,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,complete,USA,Homo sapiens,,3/20/2020
MT326135,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29794,complete,USA,Homo sapiens,,3/20/2020
MT326136,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29695,complete,USA,Homo sapiens,,3/19/2020
MT326137,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,USA,Homo sapiens,,3/19/2020
MT326138,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,complete,USA,Homo sapiens,,3/20/2020
MT326139,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29647,partial,USA,Homo sapiens,,3/20/2020
MT326140,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA,Homo sapiens,,3/20/2020
MT326141,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29551,partial,USA,Homo sapiens,,3/19/2020
MT326142,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29335,partial,USA,Homo sapiens,,3/19/2020
MT326143,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29617,partial,USA,Homo sapiens,,3/20/2020
MT326144,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,partial,USA,Homo sapiens,,3/20/2020
MT326145,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29301,partial,USA,Homo sapiens,,3/21/2020
MT326146,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29538,partial,USA,Homo sapiens,,3/21/2020
MT326147,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,partial,USA,Homo sapiens,,3/20/2020
MT326148,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,complete,USA,Homo sapiens,,3/21/2020
MT326149,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29725,complete,USA,Homo sapiens,,3/21/2020
MT326150,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA,Homo sapiens,,3/21/2020
MT326151,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29744,complete,USA,Homo sapiens,,3/21/2020
MT326152,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29758,complete,USA,Homo sapiens,,3/21/2020
MT326153,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,complete,USA,Homo sapiens,,3/21/2020
MT326154,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA,Homo sapiens,,3/21/2020
MT326155,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29734,partial,USA,Homo sapiens,,3/21/2020
MT326156,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,partial,USA,Homo sapiens,,3/21/2020
MT326157,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29532,partial,USA,Homo sapiens,,3/21/2020
MT326158,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29737,complete,USA,Homo sapiens,,3/21/2020
MT326159,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,complete,USA,Homo sapiens,,3/21/2020
MT326160,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29765,complete,USA,Homo sapiens,,3/21/2020
MT326161,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29589,complete,USA,Homo sapiens,,3/21/2020
MT326162,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA,Homo sapiens,,3/21/2020
MT326163,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29639,partial,USA,Homo sapiens,,3/21/2020
MT326164,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,USA,Homo sapiens,,3/21/2020
MT326165,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29730,partial,USA,Homo sapiens,,3/21/2020
MT326166,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29759,complete,USA,Homo sapiens,,3/21/2020
MT326167,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,complete,USA,Homo sapiens,,3/21/2020
MT326168,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29772,partial,USA,Homo sapiens,,3/21/2020
MT326169,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,complete,USA,Homo sapiens,,3/22/2020
MT326170,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29710,partial,USA,Homo sapiens,,3/21/2020
MT326171,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,partial,USA,Homo sapiens,,3/21/2020
MT326172,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,partial,USA,Homo sapiens,,3/21/2020
MT326173,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29574,complete,USA,Homo sapiens,,2020
MT326174,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,partial,USA,Homo sapiens,,3/19/2020
MT326175,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29564,partial,USA,Homo sapiens,,3/19/2020
MT326176,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29301,partial,USA,Homo sapiens,,3/19/2020
MT326177,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29770,partial,USA,Homo sapiens,,3/19/2020
MT326178,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA,Homo sapiens,,3/19/2020
MT326179,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29737,partial,USA,Homo sapiens,,3/19/2020
MT326180,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,complete,USA,Homo sapiens,,3/19/2020
MT326181,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29641,complete,USA,Homo sapiens,,3/14/2020
MT326182,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29689,partial,USA,Homo sapiens,,3/13/2020
MT326183,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29755,partial,USA,Homo sapiens,,3/17/2020
MT326184,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29733,complete,USA,Homo sapiens,,3/17/2020
MT326185,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,complete,USA,Homo sapiens,,3/17/2020
MT326186,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29599,partial,USA,Homo sapiens,,3/17/2020
MT326187,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29919,complete,USA,Homo sapiens,,3/18/2020
MT326188,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,partial,USA,Homo sapiens,,3/16/2020
MT326189,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,partial,USA,Homo sapiens,,3/18/2020
MT326190,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29913,complete,USA,Homo sapiens,,3/18/2020
MT326191,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,complete,USA,Homo sapiens,,3/18/2020
MT293177,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,,3/16/2020
MT295464,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,complete,USA,Homo sapiens,,3/10/2020
MT295465,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,complete,USA,Homo sapiens,,3/27/2020
MT184907,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT184908,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,complete,USA,Homo sapiens,oronasopharynx,2/21/2020
MT184909,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/21/2020
MT184910,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT184911,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT184912,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT184913,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/24/2020
MT159705,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159706,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159707,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159708,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159709,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/20/2020
MT159710,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159711,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/20/2020
MT159712,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/25/2020
MT159713,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT159714,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT159715,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/24/2020
MT159716,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,USA,Homo sapiens,oronasopharynx,2/24/2020
MT159717,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/17/2020
MT159718,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT159719,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/18/2020
MT159720,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/21/2020
MT159721,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/21/2020
MT159722,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,2/21/2020
MN985325,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA,Homo sapiens,oronasopharynx,1/19/2020
MT339039,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,complete,USA: AZ,Homo sapiens,oronasopharynx,3/17/2020
MT339040,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,complete,USA: AZ,Homo sapiens,oronasopharynx,3/16/2020
MT339041,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: AZ,Homo sapiens,oronasopharynx,3/17/2020
MT325561,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: AZ,Homo sapiens,oronasopharynx,3/9/2020
MT325562,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: AZ,Homo sapiens,feces,3/9/2020
MT304477,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: AZ,Homo sapiens,"lung, oronasopharynx",3/2/2020
MN997409,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: AZ,Homo sapiens,feces,1/22/2020
MT276324,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,2/26/2020
MT118835,2020-02-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,lung,2/23/2020
MT106052,2020-02-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,2/6/2020
MT106053,2020-02-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,2/10/2020
MT044258,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: CA,Homo sapiens,oronasopharynx,1/27/2020
MT027062,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,1/29/2020
MT027063,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,1/29/2020
MT027064,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,1/29/2020
MN994467,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CA,Homo sapiens,oronasopharynx,1/23/2020
MN994468,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,complete,USA: CA,Homo sapiens,oronasopharynx,1/22/2020
MT192765,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,complete,"USA: CA, San Diego County",Homo sapiens,,3/11/2020
MT344944,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: CT,Homo sapiens,oronasopharynx,3/8/2020
MT345868,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,complete,USA: CT,Homo sapiens,,3/30/2020
MT345869,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29904,complete,USA: CT,Homo sapiens,,3/30/2020
MT345870,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: CT,Homo sapiens,,3/30/2020
MT345873,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29907,complete,USA: CT,Homo sapiens,,3/30/2020
MT345874,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA: CT,Homo sapiens,,3/30/2020
MT263386,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,complete,USA: CT,Homo sapiens,,3/14/2020
MT263407,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29575,partial,USA: CT,Homo sapiens,,3/14/2020
MT263411,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,complete,USA: CT,Homo sapiens,,3/14/2020
MT263463,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA: CT,Homo sapiens,,3/16/2020
MT259242,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29173,partial,USA: CT,Homo sapiens,,3/14/2020
MT259248,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,complete,USA: CT,Homo sapiens,,3/14/2020
MT251974,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,USA: CT,Homo sapiens,,3/12/2020
MT325563,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: DC,Homo sapiens,oronasopharynx,3/6/2020
MT325564,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,3/6/2020
MT325565,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,"lung, oronasopharynx",3/2/2020
MT325566,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,"lung, oronasopharynx",3/5/2020
MT325567,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,3/5/2020
MT325568,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,3/6/2020
MT304478,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,3/2/2020
MT276329,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,2/28/2020
MT276330,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: FL,Homo sapiens,oronasopharynx,2/28/2020
MT344945,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/7/2020
MT344946,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT344947,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT325569,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/4/2020
MT325570,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/5/2020
MT325571,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT325572,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/8/2020
MT325573,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT325574,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT325575,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/10/2020
MT304479,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/3/2020
MT304480,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/3/2020
MT304481,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,3/4/2020
MT276326,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2/29/2020
MT276327,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: GA,Homo sapiens,oronasopharynx,2/29/2020
MT344948,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: HI,Homo sapiens,oronasopharynx,3/5/2020
MT344949,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: HI,Homo sapiens,oronasopharynx,3/7/2020
MT325576,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/8/2020
MT325615,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/7/2020
MT325617,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/8/2020
MT325618,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/8/2020
MT325619,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/8/2020
MT325620,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/8/2020
MT325621,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IA,Homo sapiens,oronasopharynx,3/7/2020
MT345803,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,USA: ID,Homo sapiens,,3/21/2020
